STY0014	15020	15967
STY0015	16094	16438
STY0016	16499	17032
STY0017	17049	17492
STY0018	17873	19972
STY0019	20004	21155
STY0020	21198	23060
STY0021	23341	24045
STY0033	31278	32123
STY0034	32162	32449
STY0035	32549	32998
STY0036	33368	34363
STY0038	34511	34816
STY0039	35339	37057
STY0040	37103	38674
STY0041	38773	39534
STY0042	40128	41621
STY0043	41720	42910
STY0045	43198	44181
STY0046	44308	46023
STY0050	50447	51820
STY0091	93425	93655
STY0093	93940	94362
STY0095	94586	94876
STY0096	95086	95280
STY0097	95774	95998
STY0098	96050	97354
STY0099	97351	97662
STY0117	118231	118650
STY0158	163397	164386
STY0170	174007	174957
STY0171	174957	176363
STY0178	185869	186153
STY0179	186191	186982
STY0185	194599	195582
STY0186	195592	196359
STY0257	271774	273537
STY0385	392809	393276
STY0386	393222	393377
STY0387	393469	394722
STY0391	400126	400227
STY0392	400342	401745
STY0393	401742	402752
STY0413	426228	426941
STY0414	427110	428309
STY0440	450278	450880
STY0501	507959	509014
STY0523	530792	531715
STY0568	574305	575552
STY0599	604191	604502
STY0615	614326	614766
STY0616	614791	615501
STY0622	622264	622845
STY0658	657980	658462
STY0659	658533	660812
STY0660	660809	661366
STY0661	661366	662133
STY0729	729838	731241
STY0737	737499	737984
STY0757	757913	758248
STY0802	799013	800092
STY0803	800092	800868
STY0832	831359	831532
STY0916	908730	908939
STY0917	908948	910291
STY0918	910323	910643
STY0919	910653	912140
STY0948	938216	938893
STY0949	938913	939773
STY1124	1090704	1090874
STY1125	1090875	1090985
STY1143	1106421	1107359
STY1158	1117233	1117628
STY1163	1125366	1126247
STY1310	1270134	1270970
STY1320	1277897	1278775
STY1354	1316029	1316736
STY1385	1338604	1339533
STY1386	1339652	1340557
STY1391	1343304	1343540
STY1394	1346408	1347253
STY1395	1347328	1349310
STY1396	1349331	1350164
STY1397	1350263	1350820
STY1398	1350926	1351264
STY1399	1351292	1351978
STY1400	1352022	1352624
STY1408	1358082	1359236
STY1413	1363893	1365452
STY1433	1384141	1384578
STY1435	1386954	1387634
STY1436	1387631	1388362
STY1437	1388387	1389034
STY1438	1389041	1389802
STY1439	1390720	1391064
STY1443	1396054	1396629
STY1444	1396641	1397843
STY1463	1414042	1414440
STY1490	1446547	1447125
STY1502	1457973	1458758
STY1503	1458887	1460671
STY1504	1460668	1463196
STY1505	1463253	1465064
STY1513	1469419	1470498
STY1514	1470680	1471168
STY1517	1472365	1473606
STY1519	1475409	1476695
STY1520	1476670	1477695
STY1521	1477754	1478545
STY1522	1478591	1479682
STY1523	1480110	1481213
STY1527	1483718	1484326
STY1528	1484326	1484625
STY1531	1486099	1486869
STY1533	1487971	1488513
STY1548	1500132	1500314
STY1570	1520264	1520974
STY1571	1521003	1521905
STY1572	1521915	1522562
STY1573	1522562	1523710
STY1648	1575901	1576260
STY1650	1577621	1579327
STY1741	1661861	1662598
STY1743	1663367	1664710
STY1755	1674560	1675906
STY1782	1704154	1704468
STY1783	1704611	1705570
STY1842	1758799	1759110
STY1847	1760830	1761015
STY1848	1761136	1761783
STY1853	1764189	1764344
STY1854	1764423	1764671
STY1855	1764926	1765774
STY1856	1765843	1766436
STY1859	1768322	1768648
STY1860	1768842	1769975
STY1861	1770057	1770647
STY1862	1770641	1771438
STY1863	1771432	1772244
STY1864	1772234	1773211
STY1865	1773208	1774842
STY1867	1775546	1775860
STY1869	1776622	1777665
STY1870	1777746	1777895
STY1871	1778004	1778474
STY1873	1778669	1778896
STY1874	1779096	1779221
STY1874a	1779297	1779386
STY1874b	1779441	1779530
STY1875	1779602	1779943
STY1876	1780271	1780444
STY1880	1782326	1782490
STY1887	1786270	1786647
STY1889	1786795	1787337
STY1890	1787529	1788257
STY1891	1788274	1788687
STY1893	1789728	1790852
STY1911	1804670	1805935
STY1986	1873161	1873325
STY1990	1875739	1876215
STY1993	1877393	1877659
STY2120	1971404	1972540
STY2147	1996817	1996933
STY2148	1996951	1997142
STY2149	1997355	1998788
STY2151	1999008	1999208
STY2152	1999201	1999338
STY2175	2019141	2019494
STY2209	2046987	2047163
STY2210	2047166	2047339
STY2403	2236039	2236236
STY2405	2237354	2238547
STY2406	2238562	2239206
STY2407	2239215	2239916
STY2408	2239932	2240969
STY2409	2240981	2242339
STY2410	2242465	2243373
STY2429	2258645	2259034
STY2430	2259039	2260406
STY2431	2260623	2261510
STY2570	2408171	2409124
STY2571	2409117	2409947
STY2572	2409944	2411335
STY2573	2411356	2411628
STY2574	2411709	2412152
STY2575	2412405	2413424
STY2587	2422315	2423604
STY2588	2423668	2424771
STY2589	2424773	2426194
STY2590	2426285	2427682
STY2591	2427893	2429320
STY2604	2440971	2441345
STY2605	2441517	2441765
STY2606	2441934	2442302
STY2607	2442302	2442820
STY2646	2480998	2482650
STY2671	2508137	2508376
STY2675	2510629	2511348
STY2712	2545770	2546000
STY2730	2566467	2567606
STY2731	2567612	2568880
STY2756	2597945	2599525
STY2760	2605324	2611716
STY2761	2611836	2612801
STY2772	2624844	2625707
STY2773	2625707	2626516
STY2774	2626509	2627138
STY2799	2654421	2655059
STY2848	2711380	2711835
STY2875	2743495	2754369
STY2876	2754433	2755842
STY2877	2755839	2757995
STY2878	2758027	2759190
STY2905	2787537	2787656
STY2906	2787653	2788462
STY2907	2788477	2788908
STY2908	2788919	2790433
STY2919	2799906	2800031
STY2958	2834395	2834508
STY2986a	2862665	2862874
STY2989	2865343	2865795
STY2996	2869850	2870779
STY3003	2876118	2876378
STY3026	2897705	2897995
STY3027	2897992	2898519
STY3034	2903367	2903663
STY3036	2903746	2904954
STY3037	2905042	2905974
STY3038	2906016	2907512
STY3039	2907509	2908459
STY3078	2942228	2943025
STY3097	2964858	2966000
STY3126	2993415	2994329
STY3165	3037910	3038773
STY3166	3038850	3039332
STY3173	3042943	3043455
STY3182	3051388	3051786
STY3183	3051786	3052013
STY3300	3146822	3147307
STY3302	3148033	3148956
STY3303	3148995	3149714
STY3309	3156513	3157568
STY3312	3161255	3161968
STY3313	3161965	3163017
STY3328	3173337	3173747
STY3329	3173764	3174138
STY3341	3183611	3184066
STY3370	3212004	3213800
STY3568	3411528	3413138
STY3643	3501966	3502697
STY3644	3502694	3503437
STY3645	3503465	3503893
STY3765	3628564	3630120
STY3766	3630256	3631380
STY3773	3638730	3639392
STY3819	3680221	3680736
STY3820	3680729	3682036
STY3821	3682192	3682875
STY3832	3691934	3692500
STY3833	3692583	3693242
STY3834	3693242	3693487
STY3948	3816148	3817170
STY3949	3817167	3818306
STY3950	3818303	3819430
STY4009	3871470	3872852
STY4013	3876469	3876894
STY4014	3876905	3877390
STY4015	3877536	3878285
STY4016	3878285	3879142
STY4017	3879146	3880255
STY4018	3880242	3880985
STY4020	3881221	3882162
STY4057	3918003	3918887
STY4058	3918961	3919863
STY4115	3977536	3978417
STY4150	4010780	4011067
STY4151	4011055	4011540
STY4152	4011911	4012450
STY4164	4022959	4023966
STY4165	4024116	4025240
STY4198	4063955	4064311
STY4199	4064592	4066181
STY4201	4068168	4068887
STY4202	4069063	4069917
STY4234	4099515	4101158
STY4261	4125259	4126293
STY4262	4126290	4127261
STY4263	4127315	4128076
STY4264	4128092	4129306
STY4438	4307686	4308996
STY4448	4317425	4317763
STY4449	4317750	4318205
STY4452	4322993	4323625
STY4453	4323622	4325010
STY4456	4325000	4326307
STY4457	4326304	4327581
STY4458	4327598	4337449
STY4459	4337507	4344277
STY4460	4344317	4346383
STY4465	4350256	4350924
STY4468	4354511	4355398
STY4469	4355502	4355912
STY4470	4355905	4356594
STY4485	4372970	4373878
STY4500a	4393711	4393977
